"SampleID","Block","Time","Chamber","Frag","Pos","Sejina_sp.","Uropodina_sp.1","Uropodina_sp.2","Pergamascus_sp.","Uropodina_spp.3","Zercon_sp.","Parazercon_sp.","Veigaiidae_sp.","Ologamasidae_sp.","Laelapidae_sp.1","Laelapidae_sp.2","Laelapidae_sp.3","Laelapidae_sp.4","Bdellidae_spp.","Rhagidae_spp.","Hypogastruridae_sp.1","Hypogastruridae_sp.2","Onychiuridae_sp.","Tomoceridae_sp.","Folsomia_penicula","Isotomidae_sp.3","Metisotoma_grandiceps","Isotomidae_sp.5","Isotomidae_sp.4","Isotoma_notabilis","Entomobryidae_sp.1","Entomobryidae_sp.2","Entomobryidae_sp.3","Neelidae_spp.","Sminthuridae_sp.1","Sminthuridae_sp.2","Sminthuridae_sp.3","spider","Diptera_spp.","insect_larva","Coleoptera_larva","Coleoptera_spp.","aphid","cricket","moth"
"11A-4.O","1","1","A","4","O",0,0,0,0,4,3,102,0,5,0,1,0,0,2,12,0,0,0,0,5,0,0,3,8,106,19,0,9,5,3,5,0,0,0,0,0,0,0,0,0
"11C-2.O","1","1","C","2","O",0,0,0,0,1,0,46,0,77,0,1,0,3,1,6,0,16,0,0,0,0,0,0,10,179,14,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"11C-4.I","1","1","C","4","I",0,0,0,0,0,0,56,2,15,0,0,0,0,0,7,0,0,0,1,6,0,3,0,1,44,11,0,0,2,0,32,0,0,0,0,0,0,0,0,0
"11C-4.O","1","1","C","4","O",0,0,11,0,0,0,22,0,25,0,4,0,6,3,18,0,9,0,0,18,0,1,0,10,159,17,0,0,1,0,2,0,0,0,0,1,0,0,0,0
"31A-4.O","3","1","A","4","O",0,0,0,0,6,0,14,0,0,0,0,0,0,2,15,1,0,0,0,6,0,0,2,3,143,25,0,1,5,1,0,1,0,6,0,0,0,52,0,1
"31C-2.O","3","1","C","2","O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31C-4.I","3","1","C","4","I",0,2,0,0,1,1,8,1,2,0,4,0,3,2,3,0,0,0,0,0,0,0,2,0,6,1,0,2,3,0,1,1,0,22,0,0,0,9,0,0
"31C-4.O","3","1","C","4","O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"51A-4.O","5","1","A","4","O",0,0,0,0,1,0,47,0,27,0,0,0,0,1,4,3,0,0,0,4,0,0,0,3,102,20,0,3,1,0,0,0,0,0,0,1,0,0,0,0
"51C-2.O","5","1","C","2","O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51C-4.I","5","1","C","4","I",0,0,0,0,6,0,48,0,9,0,0,0,0,2,4,1,0,0,1,4,0,0,0,1,54,14,0,4,1,2,4,0,0,0,0,0,0,0,0,0
"51C-4.O","5","1","C","4","O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71A-4.O","7","1","A","4","O",0,8,0,0,0,0,76,4,26,0,7,0,2,0,4,27,0,0,0,1,0,0,0,0,147,8,0,0,15,1,0,0,0,3,0,0,0,0,0,0
"71C-2.O","7","1","C","2","O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1
"71C-4.I","7","1","C","4","I",0,10,5,0,4,7,48,0,39,0,1,0,0,1,3,1,0,0,0,8,0,2,1,3,220,4,0,2,14,0,1,0,0,0,0,1,0,0,0,0
"71C-4.O","7","1","C","4","O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"12A-4.I","1","2","A","4","I",0,0,0,0,0,6,32,0,1,0,0,0,0,2,59,22,0,8,1,12,3,2,0,0,6,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0
"12C-2.I","1","2","C","2","I",0,0,0,0,0,22,47,0,0,0,0,0,0,1,34,3,0,59,3,12,1,0,8,0,26,0,1,0,2,11,5,0,12,1,0,0,0,0,0,0
"12C-2.O","1","2","C","2","O",0,0,0,0,0,0,3,0,2,0,2,0,0,5,103,0,0,79,3,19,1,3,0,0,4,2,1,0,6,0,0,1,4,0,1,0,1,0,0,0
"12C-4.I","1","2","C","4","I",0,0,0,0,0,1,6,0,1,1,0,0,0,3,49,11,0,5,0,1,5,2,11,0,46,0,0,0,2,25,2,0,13,0,0,1,0,0,0,0
"12C-4.O","1","2","C","4","O",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,8,0,0,0,0,0,1,1,0,0,0,0,0,0
"32C-1.I","3","2","C","1","I",0,0,0,0,0,1,38,0,10,0,0,0,0,2,63,5,0,18,0,49,44,0,0,0,18,0,0,0,1,10,4,0,4,0,1,1,0,0,0,0
"32C-1.O","3","2","C","1","O",0,0,0,0,0,5,74,0,14,0,1,0,0,3,68,8,0,40,0,41,3,0,1,0,15,4,1,0,0,2,0,0,1,1,1,0,0,0,0,0
"14A-1.I","1","4","A","1","I",0,1,0,0,0,1,2,0,0,1,1,0,0,0,6,0,0,43,0,3,2,0,0,0,1,0,0,0,0,0,0,0,9,2,2,0,0,0,0,0
"14A-1.O","1","4","A","1","O",0,9,21,1,7,1,42,1,12,1,2,0,0,5,28,9,0,67,1,118,8,0,0,121,13,181,0,0,2,0,7,0,20,1,1,0,0,0,0,0
"14A-2.I","1","4","A","2","I",0,5,17,2,0,27,25,1,5,0,0,4,0,0,18,12,0,196,0,60,5,0,0,0,7,0,0,0,0,0,1,0,13,6,14,0,0,0,0,0
"14A-2.O","1","4","A","2","O",0,75,81,0,0,39,87,1,27,0,2,2,0,2,72,10,0,51,0,601,26,0,0,0,38,0,0,0,5,1,1,0,2,0,2,0,1,0,0,0
"14A-4.I","1","4","A","4","I",0,12,44,0,0,24,27,0,24,2,0,0,0,4,23,28,0,43,1,77,14,0,0,0,41,1,0,0,10,1,5,0,2,1,2,0,0,0,0,0
"14A-4.O","1","4","A","4","O",0,55,38,0,0,11,39,0,24,6,0,0,0,1,26,4,0,4,0,82,0,0,0,0,18,0,0,0,0,3,8,0,1,1,0,0,0,0,0,0
"14C-1.I","1","4","C","1","I",0,53,38,0,0,19,62,8,7,0,0,0,0,1,36,6,0,17,1,14,9,0,0,0,11,0,0,0,5,0,9,0,3,0,6,0,0,0,0,0
"14C-1.O","1","4","C","1","O",0,39,47,0,0,39,32,3,19,0,2,0,0,1,48,0,0,20,0,12,15,0,0,0,10,0,0,0,14,2,11,1,3,1,2,0,0,0,0,0
"14C-2.I","1","4","C","2","I",0,3,24,0,0,0,8,4,9,0,0,0,0,1,30,17,0,1,1,3,0,0,0,0,19,1,0,0,0,2,9,0,7,2,4,0,0,0,0,0
"14C-2.O","1","4","C","2","O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14C-4.I","1","4","C","4","I",16,4,12,0,4,0,27,2,4,1,0,0,0,1,21,6,0,2,5,0,1,0,0,0,5,0,0,0,4,1,7,0,10,1,11,1,0,0,0,0
"14C-4.O","1","4","C","4","O",0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"34A-1.I","3","4","A","1","I",0,1,4,0,0,0,4,1,0,0,0,0,0,0,2,6,0,3,0,17,6,0,0,0,12,0,0,0,13,1,0,0,1,2,1,0,0,0,0,0
"34A-1.O","3","4","A","1","O",0,1,0,0,0,0,11,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,30,9,0,0,7,0,0,0,5,5,1,2,0,0,0,1
"34A-2.I","3","4","A","2","I",0,9,5,0,0,0,9,0,0,0,0,0,0,0,36,46,0,7,0,49,19,0,0,0,22,0,0,0,4,2,0,1,0,8,1,0,0,0,0,0
"34A-2.O","3","4","A","2","O",0,7,1,0,0,3,9,0,18,1,0,0,0,0,22,20,0,16,0,72,13,1,0,0,19,0,0,0,5,0,3,1,0,1,0,0,0,0,0,0
"34A-4.I","3","4","A","4","I",0,5,5,0,0,17,25,1,16,0,0,0,0,0,13,14,0,4,0,46,0,0,0,0,13,0,0,0,7,0,0,3,0,4,1,1,0,0,0,0
"34A-4.O","3","4","A","4","O",0,10,6,0,0,11,23,0,26,0,0,0,0,3,14,8,0,5,0,248,6,0,0,0,38,0,0,0,5,0,0,1,0,4,1,2,0,0,1,0
"34C-1.I","3","4","C","1","I",0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,7,0,0,0,1,0,1,0,3,2,0,0,0,0,0,0
"34C-1.O","3","4","C","1","O",0,0,0,0,0,13,48,1,40,0,5,0,0,0,47,11,0,7,0,77,16,1,0,0,100,1,0,0,0,2,5,1,5,6,0,0,0,0,0,0
"34C-2.I","3","4","C","2","I",0,0,0,2,0,6,9,0,55,0,0,0,0,2,28,9,0,0,0,39,5,6,0,0,25,0,1,0,2,1,0,0,10,2,1,4,0,0,0,0
"34C-2.O","3","4","C","2","O",0,0,0,0,0,0,0,0,2,0,4,0,0,2,1,0,0,0,0,6,0,0,22,4,0,2,7,0,0,0,0,0,0,4,0,0,0,0,0,0
"34C-4.I","3","4","C","4","I",0,0,0,0,0,5,19,0,22,0,0,0,0,5,10,11,0,2,0,8,9,2,0,10,60,33,0,0,31,8,12,0,1,4,2,31,0,0,0,0
"34C-4.O","3","4","C","4","O",0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,1,0,0,0,0,0,0,1,6,6,0,0,0,0,1,0,3,0,0,0,0,0,0
"54A-1.I","5","4","A","1","I",0,0,0,0,0,36,43,4,14,1,0,0,0,0,95,52,0,11,0,49,9,0,0,0,62,0,0,0,7,2,4,10,17,2,7,1,0,1,0,0
"54A-1.O","5","4","A","1","O",0,0,0,0,0,4,89,0,42,0,0,0,0,0,96,20,0,17,77,26,7,0,0,0,49,4,0,0,3,6,3,11,8,2,5,0,0,1,0,0
"54A-2.I","5","4","A","2","I",0,0,0,0,0,27,30,0,38,1,1,0,0,2,79,8,0,7,0,2,0,0,0,0,70,0,0,0,0,3,0,1,14,2,1,0,0,0,0,0
"54A-2.O","5","4","A","2","O",0,0,0,0,0,21,31,0,23,0,2,0,0,3,78,12,0,21,0,1,2,0,0,0,77,0,0,0,2,0,1,3,5,1,1,0,0,0,0,0
"54A-4.I","5","4","A","4","I",0,0,0,2,0,24,54,0,17,0,0,0,0,3,125,47,0,22,0,17,1,0,0,0,79,0,1,0,12,3,1,4,2,1,1,0,0,0,0,0
"54A-4.O","5","4","A","4","O",0,0,0,0,0,9,36,0,62,0,0,0,0,1,34,18,0,6,0,15,0,0,0,0,52,0,0,0,0,1,0,0,1,2,2,1,0,0,0,0
"54C-1.I","5","4","C","1","I",0,0,0,2,0,15,57,0,34,0,0,0,0,2,88,9,0,3,0,13,3,0,0,0,62,0,0,0,7,0,1,11,6,1,1,1,0,14,0,0
"54C-1.O","5","4","C","1","O",0,0,0,0,0,8,21,0,11,0,0,0,0,2,41,8,0,5,1,21,2,0,0,0,31,0,0,0,14,0,2,3,7,0,0,0,0,0,0,0
"54C-2.I","5","4","C","2","I",0,0,0,0,0,35,70,0,56,0,2,0,0,1,62,12,0,9,0,17,1,0,0,0,109,0,0,0,16,0,0,1,15,1,0,1,0,2,0,0
"54C-2.O","5","4","C","2","O",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
"54C-4.I","5","4","C","4","I",7,4,0,0,0,1,46,0,14,0,0,0,0,14,25,12,0,19,0,10,5,0,0,0,89,0,0,0,37,0,7,2,14,4,0,4,0,10,0,0
"54C-4.O","5","4","C","4","O",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,7,0,1,0,1
"74A-1.I","7","4","A","1","I",0,16,8,2,0,13,7,0,0,0,0,2,0,0,6,4,0,4,0,4,0,0,0,0,1,0,0,0,1,0,0,0,5,1,2,0,0,0,0,0
"74A-1.O","7","4","A","1","O",0,6,30,9,62,25,75,4,6,0,1,0,0,1,19,14,0,25,85,67,13,0,0,0,18,42,0,5,2,0,0,0,2,1,5,0,0,2,0,0
"74A-2.I","7","4","A","2","I",0,10,10,0,0,10,65,2,0,0,0,0,0,1,42,13,0,33,0,95,52,0,0,0,9,0,0,0,2,0,0,0,1,4,0,2,0,0,0,0
"74A-2.O","7","4","A","2","O",0,11,11,0,0,31,43,0,27,0,0,0,0,5,64,11,0,49,4,136,21,0,0,0,15,0,0,0,0,0,0,0,6,0,7,0,0,16,0,0
"74A-4.I","7","4","A","4","I",0,32,26,3,0,23,69,1,3,0,0,0,0,4,40,15,0,62,1,88,9,0,0,0,12,0,0,0,1,0,0,0,0,6,0,0,0,4,0,0
"74A-4.O","7","4","A","4","O",0,16,21,3,0,20,130,1,3,0,0,0,0,4,54,91,0,34,0,224,28,0,0,0,5,0,0,0,2,0,0,0,1,4,2,0,0,84,0,0
"74C-1.I","7","4","C","1","I",0,12,11,4,0,14,81,1,6,1,0,0,0,4,38,37,0,17,0,105,81,0,0,0,67,0,0,0,1,0,3,0,2,0,0,4,0,87,0,0
"74C-1.O","7","4","C","1","O",0,10,7,2,0,13,71,2,10,0,2,0,0,3,68,27,0,21,0,121,68,0,0,0,47,0,1,0,2,0,1,0,8,0,3,0,0,7,0,0
"74C-2.I","7","4","C","2","I",0,6,24,1,0,12,33,3,17,0,0,0,0,2,64,25,0,84,0,97,140,1,0,0,42,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0
"74C-2.O","7","4","C","2","O",0,0,2,0,3,5,6,0,9,0,3,0,0,1,44,11,0,190,0,32,19,0,0,0,62,7,4,0,0,0,0,0,3,0,4,0,1,0,0,0
"74C-4.I","7","4","C","4","I",0,0,12,0,27,0,19,1,12,0,1,0,0,0,26,13,0,5,148,90,42,0,0,0,20,86,0,0,1,0,6,0,2,0,0,1,0,3,0,0
"74C-4.O","7","4","C","4","O",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
