"SampleID","Block","Time","Chamber","Frag","Pos","xE","yN"
"82C-4.E","8","2","C","4","E","642122.598","6074302.776"
"13A-1.O","1","3","A","1","O","642177.925","6074263.661"
"13A-1.I","1","3","A","1","I","642177.837","6074263.572"
"13A-1.N","1","3","A","1","N","642177.837","6074263.661"
"13A-1.E","1","3","A","1","E","642177.925","6074263.572"
"13A-2.O","1","3","A","2","O","642177.318","6074263.729"
"13A-2.I","1","3","A","2","I","642177.543","6074263.504"
"13A-2.N","1","3","A","2","N","642177.543","6074263.729"
"13A-2.W","1","3","A","2","W","642177.318","6074263.504"
"13A-3.O","1","3","A","3","O","642177.318","6074263.054"
"13A-3.I","1","3","A","3","I","642177.543","6074263.279"
"13A-3.S","1","3","A","3","S","642177.543","6074263.054"
"13A-3.W","1","3","A","3","W","642177.318","6074263.279"
"13A-4.O","1","3","A","4","O","642177.993","6074263.054"
"13A-4.I","1","3","A","4","I","642177.768","6074263.279"
"13A-4.S","1","3","A","4","S","642177.768","6074263.054"
"13A-4.E","1","3","A","4","E","642177.993","6074263.279"
"13B-1.O","1","3","B","1","O","642177.599","6074264.759"
"13B-1.I","1","3","B","1","I","642177.511","6074264.847"
"13B-1.S","1","3","B","1","S","642177.511","6074264.759"
"13B-1.E","1","3","B","1","E","642177.599","6074264.847"
"13B-2.O","1","3","B","2","O","642177.668","6074265.366"
"13B-2.I","1","3","B","2","I","642177.443","6074265.141"
"13B-2.N","1","3","B","2","N","642177.443","6074265.366"
"13B-2.E","1","3","B","2","E","642177.668","6074265.141"
"13B-3.O","1","3","B","3","O","642176.993","6074265.366"
"13B-3.I","1","3","B","3","I","642177.218","6074265.141"
"13B-3.N","1","3","B","3","N","642177.218","6074265.366"
"13B-3.W","1","3","B","3","W","642176.993","6074265.141"
"13B-4.O","1","3","B","4","O","642176.993","6074264.691"
"13B-4.I","1","3","B","4","I","642177.218","6074264.916"
"13B-4.S","1","3","B","4","S","642177.218","6074264.691"
"13B-4.W","1","3","B","4","W","642176.993","6074264.916"
"13C-1.O","1","3","C","1","O","642178.633","6074265.505"
"13C-1.I","1","3","C","1","I","642178.722","6074265.417"
"13C-1.N","1","3","C","1","N","642178.722","6074265.505"
"13C-1.W","1","3","C","1","W","642178.633","6074265.417"
"13C-2.O","1","3","C","2","O","642179.240","6074265.573"
"13C-2.I","1","3","C","2","I","642179.015","6074265.348"
"13C-2.N","1","3","C","2","N","642179.015","6074265.573"
"13C-2.E","1","3","C","2","E","642179.240","6074265.348"
"13C-3.O","1","3","C","3","O","642178.565","6074264.898"
"13C-3.I","1","3","C","3","I","642178.790","6074265.123"
"13C-3.S","1","3","C","3","S","642178.790","6074264.898"
"13C-3.W","1","3","C","3","W","642178.565","6074265.123"
"13C-4.O","1","3","C","4","O","642179.240","6074264.898"
"13C-4.I","1","3","C","4","I","642179.015","6074265.123"
"13C-4.S","1","3","C","4","S","642179.015","6074264.898"
"13C-4.E","1","3","C","4","E","642179.240","6074265.123"
"23A-1.O","2","3","A","1","O","642186.109","6074269.349"
"23A-1.I","2","3","A","1","I","642186.197","6074269.261"
"23A-1.N","2","3","A","1","N","642186.197","6074269.349"
"23A-1.W","2","3","A","1","W","642186.109","6074269.261"
"23A-2.O","2","3","A","2","O","642186.715","6074269.417"
"23A-2.I","2","3","A","2","I","642186.490","6074269.192"
"23A-2.N","2","3","A","2","N","642186.490","6074269.417"
"23A-2.E","2","3","A","2","E","642186.715","6074269.192"
"23A-3.O","2","3","A","3","O","642186.715","6074268.742"
"23A-3.I","2","3","A","3","I","642186.490","6074268.967"
"23A-3.S","2","3","A","3","S","642186.490","6074268.742"
"23A-3.E","2","3","A","3","E","642186.715","6074268.967"
"23A-4.O","2","3","A","4","O","642186.040","6074268.742"
"23A-4.I","2","3","A","4","I","642186.265","6074268.967"
"23A-4.S","2","3","A","4","S","642186.265","6074268.742"
"23A-4.W","2","3","A","4","W","642186.040","6074268.967"
"23B-1.O","2","3","B","1","O","642187.390","6074266.251"
"23B-1.I","2","3","B","1","I","642187.302","6074266.163"
"23B-1.N","2","3","B","1","N","642187.302","6074266.251"
"23B-1.E","2","3","B","1","E","642187.390","6074266.163"
"23B-2.O","2","3","B","2","O","642186.784","6074265.645"
"23B-2.I","2","3","B","2","I","642187.009","6074265.870"
"23B-2.S","2","3","B","2","S","642187.009","6074265.645"
"23B-2.W","2","3","B","2","W","642186.784","6074265.870"
"23B-3.O","2","3","B","3","O","642187.459","6074265.645"
"23B-3.I","2","3","B","3","I","642187.234","6074265.870"
"23B-3.S","2","3","B","3","S","642187.234","6074265.645"
"23B-3.E","2","3","B","3","E","642187.459","6074265.870"
"23B-4.O","2","3","B","4","O","642186.784","6074266.320"
"23B-4.I","2","3","B","4","I","642187.009","6074266.095"
"23B-4.N","2","3","B","4","N","642187.009","6074266.320"
"23B-4.W","2","3","B","4","W","642186.784","6074266.095"
"23C-1.O","2","3","C","1","O","642185.596","6074267.430"
"23C-1.I","2","3","C","1","I","642185.685","6074267.341"
"23C-1.N","2","3","C","1","N","642185.685","6074267.430"
"23C-1.W","2","3","C","1","W","642185.596","6074267.341"
"23C-2.O","2","3","C","2","O","642186.203","6074267.498"
"23C-2.I","2","3","C","2","I","642185.978","6074267.273"
"23C-2.N","2","3","C","2","N","642185.978","6074267.498"
"23C-2.E","2","3","C","2","E","642186.203","6074267.273"
"23C-3.O","2","3","C","3","O","642185.528","6074266.823"
"23C-3.I","2","3","C","3","I","642185.753","6074267.048"
"23C-3.S","2","3","C","3","S","642185.753","6074266.823"
"23C-3.W","2","3","C","3","W","642185.528","6074267.048"
"23C-4.O","2","3","C","4","O","642186.203","6074266.823"
"23C-4.I","2","3","C","4","I","642185.978","6074267.048"
"23C-4.S","2","3","C","4","S","642185.978","6074266.823"
"23C-4.E","2","3","C","4","E","642186.203","6074267.048"
"33A-1.O","3","3","A","1","O","642177.876","6074275.711"
"33A-1.I","3","3","A","1","I","642177.787","6074275.799"
"33A-1.S","3","3","A","1","S","642177.787","6074275.711"
"33A-1.E","3","3","A","1","E","642177.876","6074275.799"
"33A-2.O","3","3","A","2","O","642177.269","6074275.642"
"33A-2.I","3","3","A","2","I","642177.494","6074275.867"
"33A-2.S","3","3","A","2","S","642177.494","6074275.642"
"33A-2.W","3","3","A","2","W","642177.269","6074275.867"
"33A-3.O","3","3","A","3","O","642177.269","6074276.317"
"33A-3.I","3","3","A","3","I","642177.494","6074276.092"
"33A-3.N","3","3","A","3","N","642177.494","6074276.317"
"33A-3.W","3","3","A","3","W","642177.269","6074276.092"
"33A-4.O","3","3","A","4","O","642177.944","6074276.317"
"33A-4.I","3","3","A","4","I","642177.719","6074276.092"
"33A-4.N","3","3","A","4","N","642177.719","6074276.317"
"33A-4.E","3","3","A","4","E","642177.944","6074276.092"
"33B-1.O","3","3","B","1","O","642179.033","6074275.352"
"33B-1.I","3","3","B","1","I","642179.122","6074275.440"
"33B-1.S","3","3","B","1","S","642179.122","6074275.352"
"33B-1.W","3","3","B","1","W","642179.033","6074275.440"
"33B-2.O","3","3","B","2","O","642178.965","6074275.959"
"33B-2.I","3","3","B","2","I","642179.190","6074275.734"
"33B-2.N","3","3","B","2","N","642179.190","6074275.959"
"33B-2.W","3","3","B","2","W","642178.965","6074275.734"
"33B-3.O","3","3","B","3","O","642179.640","6074275.959"
"33B-3.I","3","3","B","3","I","642179.415","6074275.734"
"33B-3.N","3","3","B","3","N","642179.415","6074275.959"
"33B-3.E","3","3","B","3","E","642179.640","6074275.734"
"33B-4.O","3","3","B","4","O","642179.640","6074275.284"
"33B-4.I","3","3","B","4","I","642179.415","6074275.509"
"33B-4.S","3","3","B","4","S","642179.415","6074275.284"
"33B-4.E","3","3","B","4","E","642179.640","6074275.509"
"33C-1.O","3","3","C","1","O","642177.762","6074274.445"
"33C-1.I","3","3","C","1","I","642177.674","6074274.534"
"33C-1.S","3","3","C","1","S","642177.674","6074274.445"
"33C-1.E","3","3","C","1","E","642177.762","6074274.534"
"33C-2.O","3","3","C","2","O","642177.155","6074274.377"
"33C-2.I","3","3","C","2","I","642177.380","6074274.602"
"33C-2.S","3","3","C","2","S","642177.380","6074274.377"
"33C-2.W","3","3","C","2","W","642177.155","6074274.602"
"33C-3.O","3","3","C","3","O","642177.155","6074275.052"
"33C-3.I","3","3","C","3","I","642177.380","6074274.827"
"33C-3.N","3","3","C","3","N","642177.380","6074275.052"
"33C-3.W","3","3","C","3","W","642177.155","6074274.827"
"33C-4.O","3","3","C","4","O","642177.830","6074275.052"
"33C-4.I","3","3","C","4","I","642177.605","6074274.827"
"33C-4.N","3","3","C","4","N","642177.605","6074275.052"
"33C-4.E","3","3","C","4","E","642177.830","6074274.827"
"43A-1.O","4","3","A","1","O","642172.777","6074286.035"
"43A-1.I","4","3","A","1","I","642172.866","6074285.946"
"43A-1.N","4","3","A","1","N","642172.866","6074286.035"
"43A-1.W","4","3","A","1","W","642172.777","6074285.946"
"43A-2.O","4","3","A","2","O","642173.384","6074286.103"
"43A-2.I","4","3","A","2","I","642173.159","6074285.878"
"43A-2.N","4","3","A","2","N","642173.159","6074286.103"
"43A-2.E","4","3","A","2","E","642173.384","6074285.878"
"43A-3.O","4","3","A","3","O","642172.709","6074285.428"
"43A-3.I","4","3","A","3","I","642172.934","6074285.653"
"43A-3.S","4","3","A","3","S","642172.934","6074285.428"
"43A-3.W","4","3","A","3","W","642172.709","6074285.653"
"43A-4.O","4","3","A","4","O","642173.384","6074285.428"
"43A-4.I","4","3","A","4","I","642173.159","6074285.653"
"43A-4.S","4","3","A","4","S","642173.159","6074285.428"
"43A-4.E","4","3","A","4","E","642173.384","6074285.653"
"43B-1.O","4","3","B","1","O","642174.625","6074286.551"
"43B-1.I","4","3","B","1","I","642174.714","6074286.639"
"43B-1.S","4","3","B","1","S","642174.714","6074286.551"
"43B-1.W","4","3","B","1","W","642174.625","6074286.639"
"43B-2.O","4","3","B","2","O","642174.557","6074287.158"
"43B-2.I","4","3","B","2","I","642174.782","6074286.933"
"43B-2.N","4","3","B","2","N","642174.782","6074287.158"
"43B-2.W","4","3","B","2","W","642174.557","6074286.933"
"43B-3.O","4","3","B","3","O","642175.232","6074287.158"
"43B-3.I","4","3","B","3","I","642175.007","6074286.933"
"43B-3.N","4","3","B","3","N","642175.007","6074287.158"
"43B-3.E","4","3","B","3","E","642175.232","6074286.933"
"43B-4.O","4","3","B","4","O","642175.232","6074286.483"
"43B-4.I","4","3","B","4","I","642175.007","6074286.708"
"43B-4.S","4","3","B","4","S","642175.007","6074286.483"
"43B-4.E","4","3","B","4","E","642175.232","6074286.708"
"43C-1.O","4","3","C","1","O","642173.573","6074282.525"
"43C-1.I","4","3","C","1","I","642173.661","6074282.613"
"43C-1.S","4","3","C","1","S","642173.661","6074282.525"
"43C-1.W","4","3","C","1","W","642173.573","6074282.613"
"43C-2.O","4","3","C","2","O","642174.180","6074282.456"
"43C-2.I","4","3","C","2","I","642173.955","6074282.681"
"43C-2.S","4","3","C","2","S","642173.955","6074282.456"
"43C-2.E","4","3","C","2","E","642174.180","6074282.681"
"43C-3.O","4","3","C","3","O","642174.180","6074283.131"
"43C-3.I","4","3","C","3","I","642173.955","6074282.906"
"43C-3.N","4","3","C","3","N","642173.955","6074283.131"
"43C-3.E","4","3","C","3","E","642174.180","6074282.906"
"43C-4.O","4","3","C","4","O","642173.505","6074283.131"
"43C-4.I","4","3","C","4","I","642173.730","6074282.906"
"43C-4.N","4","3","C","4","N","642173.730","6074283.131"
"43C-4.W","4","3","C","4","W","642173.505","6074282.906"
"53A-1.O","5","3","A","1","O","642171.973","6074307.262"
"53A-1.I","5","3","A","1","I","642172.061","6074307.174"
"53A-1.N","5","3","A","1","N","642172.061","6074307.262"
"53A-1.W","5","3","A","1","W","642171.973","6074307.174"
"53A-2.O","5","3","A","2","O","642172.580","6074306.655"
"53A-2.I","5","3","A","2","I","642172.355","6074306.880"
"53A-2.S","5","3","A","2","S","642172.355","6074306.655"
"53A-2.E","5","3","A","2","E","642172.580","6074306.880"
"53A-3.O","5","3","A","3","O","642172.580","6074307.330"
"53A-3.I","5","3","A","3","I","642172.355","6074307.105"
"53A-3.N","5","3","A","3","N","642172.355","6074307.330"
"53A-3.E","5","3","A","3","E","642172.580","6074307.105"
"53A-4.O","5","3","A","4","O","642171.905","6074306.655"
"53A-4.I","5","3","A","4","I","642172.130","6074306.880"
"53A-4.S","5","3","A","4","S","642172.130","6074306.655"
"53A-4.W","5","3","A","4","W","642171.905","6074306.880"
"53B-1.O","5","3","B","1","O","642168.339","6074312.910"
"53B-1.I","5","3","B","1","I","642168.250","6074312.998"
"53B-1.S","5","3","B","1","S","642168.250","6074312.910"
"53B-1.E","5","3","B","1","E","642168.339","6074312.998"
"53B-2.O","5","3","B","2","O","642168.407","6074313.516"
"53B-2.I","5","3","B","2","I","642168.182","6074313.291"
"53B-2.N","5","3","B","2","N","642168.182","6074313.516"
"53B-2.E","5","3","B","2","E","642168.407","6074313.291"
"53B-3.O","5","3","B","3","O","642167.732","6074312.841"
"53B-3.I","5","3","B","3","I","642167.957","6074313.066"
"53B-3.S","5","3","B","3","S","642167.957","6074312.841"
"53B-3.W","5","3","B","3","W","642167.732","6074313.066"
"53B-4.O","5","3","B","4","O","642167.732","6074313.516"
"53B-4.I","5","3","B","4","I","642167.957","6074313.291"
"53B-4.N","5","3","B","4","N","642167.957","6074313.516"
"53B-4.W","5","3","B","4","W","642167.732","6074313.291"
"53C-1.O","5","3","C","1","O","642170.509","6074310.113"
"53C-1.I","5","3","C","1","I","642170.421","6074310.025"
"53C-1.N","5","3","C","1","N","642170.421","6074310.113"
"53C-1.E","5","3","C","1","E","642170.509","6074310.025"
"53C-2.O","5","3","C","2","O","642169.903","6074310.182"
"53C-2.I","5","3","C","2","I","642170.128","6074309.957"
"53C-2.N","5","3","C","2","N","642170.128","6074310.182"
"53C-2.W","5","3","C","2","W","642169.903","6074309.957"
"53C-3.O","5","3","C","3","O","642170.578","6074309.507"
"53C-3.I","5","3","C","3","I","642170.353","6074309.732"
"53C-3.S","5","3","C","3","S","642170.353","6074309.507"
"53C-3.E","5","3","C","3","E","642170.578","6074309.732"
"53C-4.O","5","3","C","4","O","642169.903","6074309.507"
"53C-4.I","5","3","C","4","I","642170.128","6074309.732"
"53C-4.S","5","3","C","4","S","642170.128","6074309.507"
"53C-4.W","5","3","C","4","W","642169.903","6074309.732"
"63A-1.O","6","3","A","1","O","642193.403","6074384.478"
"63A-1.I","6","3","A","1","I","642193.315","6074384.567"
"63A-1.S","6","3","A","1","S","642193.315","6074384.478"
"63A-1.E","6","3","A","1","E","642193.403","6074384.567"
"63A-2.O","6","3","A","2","O","642192.796","6074384.410"
"63A-2.I","6","3","A","2","I","642193.021","6074384.635"
"63A-2.S","6","3","A","2","S","642193.021","6074384.410"
"63A-2.W","6","3","A","2","W","642192.796","6074384.635"
"63A-3.O","6","3","A","3","O","642193.471","6074385.085"
"63A-3.I","6","3","A","3","I","642193.246","6074384.860"
"63A-3.N","6","3","A","3","N","642193.246","6074385.085"
"63A-3.E","6","3","A","3","E","642193.471","6074384.860"
"63A-4.O","6","3","A","4","O","642192.796","6074385.085"
"63A-4.I","6","3","A","4","I","642193.021","6074384.860"
"63A-4.N","6","3","A","4","N","642193.021","6074385.085"
"63A-4.W","6","3","A","4","W","642192.796","6074384.860"
"63B-1.O","6","3","B","1","O","642194.567","6074385.714"
"63B-1.I","6","3","B","1","I","642194.655","6074385.803"
"63B-1.S","6","3","B","1","S","642194.655","6074385.714"
"63B-1.W","6","3","B","1","W","642194.567","6074385.803"
"63B-2.O","6","3","B","2","O","642195.174","6074386.321"
"63B-2.I","6","3","B","2","I","642194.949","6074386.096"
"63B-2.N","6","3","B","2","N","642194.949","6074386.321"
"63B-2.E","6","3","B","2","E","642195.174","6074386.096"
"63B-3.O","6","3","B","3","O","642194.499","6074386.321"
"63B-3.I","6","3","B","3","I","642194.724","6074386.096"
"63B-3.N","6","3","B","3","N","642194.724","6074386.321"
"63B-3.W","6","3","B","3","W","642194.499","6074386.096"
"63B-4.O","6","3","B","4","O","642195.174","6074385.646"
"63B-4.I","6","3","B","4","I","642194.949","6074385.871"
"63B-4.S","6","3","B","4","S","642194.949","6074385.646"
"63B-4.E","6","3","B","4","E","642195.174","6074385.871"
"63C-1.O","6","3","C","1","O","642196.324","6074386.903"
"63C-1.I","6","3","C","1","I","642196.235","6074386.992"
"63C-1.S","6","3","C","1","S","642196.235","6074386.903"
"63C-1.E","6","3","C","1","E","642196.324","6074386.992"
"63C-2.O","6","3","C","2","O","642196.392","6074387.510"
"63C-2.I","6","3","C","2","I","642196.167","6074387.285"
"63C-2.N","6","3","C","2","N","642196.167","6074387.510"
"63C-2.E","6","3","C","2","E","642196.392","6074387.285"
"63C-3.O","6","3","C","3","O","642195.717","6074386.835"
"63C-3.I","6","3","C","3","I","642195.942","6074387.060"
"63C-3.S","6","3","C","3","S","642195.942","6074386.835"
"63C-3.W","6","3","C","3","W","642195.717","6074387.060"
"63C-4.O","6","3","C","4","O","642195.717","6074387.510"
"63C-4.I","6","3","C","4","I","642195.942","6074387.285"
"63C-4.N","6","3","C","4","N","642195.942","6074387.510"
"63C-4.W","6","3","C","4","W","642195.717","6074387.285"
"73A-1.O","7","3","A","1","O","        NA","         NA"
"73A-1.I","7","3","A","1","I","        NA","         NA"
"73A-1.N","7","3","A","1","N","        NA","         NA"
"73A-1.E","7","3","A","1","E","        NA","         NA"
"73A-2.O","7","3","A","2","O","        NA","         NA"
"73A-2.I","7","3","A","2","I","        NA","         NA"
"73A-2.S","7","3","A","2","S","        NA","         NA"
"73A-2.E","7","3","A","2","E","        NA","         NA"
"73A-3.O","7","3","A","3","O","        NA","         NA"
"73A-3.I","7","3","A","3","I","        NA","         NA"
"73A-3.S","7","3","A","3","S","        NA","         NA"
"73A-3.W","7","3","A","3","W","        NA","         NA"
"73A-4.O","7","3","A","4","O","        NA","         NA"
"73A-4.I","7","3","A","4","I","        NA","         NA"
"73A-4.N","7","3","A","4","N","        NA","         NA"
"73A-4.W","7","3","A","4","W","        NA","         NA"
"73B-1.O","7","3","B","1","O","        NA","         NA"
"73B-1.I","7","3","B","1","I","        NA","         NA"
"73B-1.N","7","3","B","1","N","        NA","         NA"
"73B-1.E","7","3","B","1","E","        NA","         NA"
"73B-2.O","7","3","B","2","O","        NA","         NA"
"73B-2.I","7","3","B","2","I","        NA","         NA"
"73B-2.S","7","3","B","2","S","        NA","         NA"
"73B-2.E","7","3","B","2","E","        NA","         NA"
"73B-3.O","7","3","B","3","O","        NA","         NA"
"73B-3.I","7","3","B","3","I","        NA","         NA"
"73B-3.S","7","3","B","3","S","        NA","         NA"
"73B-3.W","7","3","B","3","W","        NA","         NA"
"73B-4.O","7","3","B","4","O","        NA","         NA"
"73B-4.I","7","3","B","4","I","        NA","         NA"
"73B-4.N","7","3","B","4","N","        NA","         NA"
"73B-4.W","7","3","B","4","W","        NA","         NA"
"73C-1.O","7","3","C","1","O","        NA","         NA"
"73C-1.I","7","3","C","1","I","        NA","         NA"
"73C-1.S","7","3","C","1","S","        NA","         NA"
"73C-1.E","7","3","C","1","E","        NA","         NA"
"73C-2.O","7","3","C","2","O","        NA","         NA"
"73C-2.I","7","3","C","2","I","        NA","         NA"
"73C-2.S","7","3","C","2","S","        NA","         NA"
"73C-2.W","7","3","C","2","W","        NA","         NA"
"73C-3.O","7","3","C","3","O","        NA","         NA"
"73C-3.I","7","3","C","3","I","        NA","         NA"
"73C-3.N","7","3","C","3","N","        NA","         NA"
"73C-3.E","7","3","C","3","E","        NA","         NA"
"73C-4.O","7","3","C","4","O","        NA","         NA"
"73C-4.I","7","3","C","4","I","        NA","         NA"
"73C-4.N","7","3","C","4","N","        NA","         NA"
"73C-4.W","7","3","C","4","W","        NA","         NA"
"83A-1.O","8","3","A","1","O","642108.167","6074309.498"
"83A-1.I","8","3","A","1","I","642108.255","6074309.587"
"83A-1.S","8","3","A","1","S","642108.255","6074309.498"
"83A-1.W","8","3","A","1","W","642108.167","6074309.587"
"83A-2.O","8","3","A","2","O","642108.098","6074310.105"
"83A-2.I","8","3","A","2","I","642108.323","6074309.880"
"83A-2.N","8","3","A","2","N","642108.323","6074310.105"
"83A-2.W","8","3","A","2","W","642108.098","6074309.880"
"83A-3.O","8","3","A","3","O","642108.773","6074310.105"
"83A-3.I","8","3","A","3","I","642108.548","6074309.880"
"83A-3.N","8","3","A","3","N","642108.548","6074310.105"
"83A-3.E","8","3","A","3","E","642108.773","6074309.880"
"83A-4.O","8","3","A","4","O","642108.773","6074309.430"
"83A-4.I","8","3","A","4","I","642108.548","6074309.655"
"83A-4.S","8","3","A","4","S","642108.548","6074309.430"
"83A-4.E","8","3","A","4","E","642108.773","6074309.655"
"83B-1.O","8","3","B","1","O","642102.071","6074314.903"
"83B-1.I","8","3","B","1","I","642101.982","6074314.814"
"83B-1.N","8","3","B","1","N","642101.982","6074314.903"
"83B-1.E","8","3","B","1","E","642102.071","6074314.814"
"83B-2.O","8","3","B","2","O","642101.464","6074314.296"
"83B-2.I","8","3","B","2","I","642101.689","6074314.521"
"83B-2.S","8","3","B","2","S","642101.689","6074314.296"
"83B-2.W","8","3","B","2","W","642101.464","6074314.521"
"83B-3.O","8","3","B","3","O","642102.139","6074314.296"
"83B-3.I","8","3","B","3","I","642101.914","6074314.521"
"83B-3.S","8","3","B","3","S","642101.914","6074314.296"
"83B-3.E","8","3","B","3","E","642102.139","6074314.521"
"83B-4.O","8","3","B","4","O","642101.464","6074314.971"
"83B-4.I","8","3","B","4","I","642101.689","6074314.746"
"83B-4.N","8","3","B","4","N","642101.689","6074314.971"
"83B-4.W","8","3","B","4","W","642101.464","6074314.746"
"83C-1.O","8","3","C","1","O","642110.723","6074307.808"
"83C-1.I","8","3","C","1","I","642110.811","6074307.896"
"83C-1.S","8","3","C","1","S","642110.811","6074307.808"
"83C-1.W","8","3","C","1","W","642110.723","6074307.896"
"83C-2.O","8","3","C","2","O","642111.330","6074307.739"
"83C-2.I","8","3","C","2","I","642111.105","6074307.964"
"83C-2.S","8","3","C","2","S","642111.105","6074307.739"
"83C-2.E","8","3","C","2","E","642111.330","6074307.964"
"83C-3.O","8","3","C","3","O","642111.330","6074308.414"
"83C-3.I","8","3","C","3","I","642111.105","6074308.189"
"83C-3.N","8","3","C","3","N","642111.105","6074308.414"
"83C-3.E","8","3","C","3","E","642111.330","6074308.189"
"83C-4.O","8","3","C","4","O","642110.655","6074308.414"
"83C-4.I","8","3","C","4","I","642110.880","6074308.189"
"83C-4.N","8","3","C","4","N","642110.880","6074308.414"
